crash_date,crash_time,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,collision_id,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_hour,crash_year,crash_month
2016-11-12,23:55:00,BRONX,10461,40.83425,-73.82908,"(40.83425, -73.82908)",EAST TREMONT AVENUE             ,HASKIN STREET,,0,0,0,0,0,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,,,,3599779,Sedan,Bike,,,,23,2016,2016-11
2013-09-24,14:00:00,BROOKLYN,11201,40.6891376,-73.9907077,"(40.6891376, -73.9907077)",BOERUM PLACE                    ,ATLANTIC AVENUE                 ,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,190538,PASSENGER VEHICLE,PASSENGER VEHICLE,,,,14,2013,2013-09
2025-01-01,07:50:00,BRONX,10463,40.884544,-73.89758,"(40.884544, -73.89758)",,,3817      BAILEY AVE,0,0,0,0,0,0,0,0,Unspecified,,,,,4784108,Sedan,,,,,7,2025,2025-01
2023-10-16,09:20:00,BROOKLYN,11215,40.676147,-73.98391,"(40.676147, -73.98391)",4 AVENUE,CARROLL STREET,,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4671665,Sedan,E-Scooter,,,,9,2023,2023-10
2015-09-24,22:00:00,Unknown,,,,,PELHAM PARKWAY                  ,BOSTON ROAD                     ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3303242,PASSENGER VEHICLE,BUS,,,,22,2015,2015-09
2016-09-07,18:00:00,BRONX,10466,40.897053,-73.851006,"(40.897053, -73.851006)",,,4367      GUNTHER AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3515321,,,,,,18,2016,2016-09
2019-10-16,21:30:00,Unknown,,40.826424,-73.95254,"(40.826424, -73.95254)",WEST 144 STREET                 ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,4225443,Sedan,,,,,21,2019,2019-10
2012-08-10,15:25:00,STATEN ISLAND,10304,40.5932616,-74.1106455,"(40.5932616, -74.1106455)",TODT HILL ROAD                  ,FOUR CORNERS ROAD               ,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,293693,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,15,2012,2012-08
2020-03-05,13:00:00,Unknown,,40.61879,-73.99426,"(40.61879, -73.99426)",68 STREET                       ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,4297825,Station Wagon/Sport Utility Vehicle,Sedan,,,,13,2020,2020-03
2015-07-03,11:15:00,BROOKLYN,11220,40.6309121,-74.0143208,"(40.6309121, -74.0143208)",68 STREET                       ,8 AVENUE                        ,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3251632,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,,11,2015,2015-07
