unique_id,collision_id,crash_date_person,crash_time_person,person_id,person_type,person_injury,vehicle_id,person_age,ejection,emotional_status,bodily_injury,position_in_vehicle,safety_equipment,ped_location,ped_action,complaint,ped_role,contributing_factor_1,contributing_factor_2,person_sex,person_age_imputed,person_injury_clean,crash_date_crash,crash_time_crash,borough,zip_code,latitude,longitude,location,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5,crash_hour,crash_year,crash_month
6706381,3586172,12/22/2016,0:45,3134294,PEDESTRIAN,Injured,,45.0,,Conscious,Back,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,Pedestrian,Unspecified,Unspecified,M,45.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10261516,4222244,10/13/2019,11:00,5be622a7-207c-4fd9-9973-b766dd2d03d7,OCCUPANT,Unspecified,19147252.0,,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6471611,3525952,09/23/2016,18:15,2069428,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10262284,4216365,10/02/2019,11:00,a09d8a3e-96ae-43cf-87a1-875b155448e5,OCCUPANT,Unspecified,19147634.0,43.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F,43.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6259312,3580824,12/12/2016,18:00,3200853,PEDESTRIAN,Injured,,40.0,,Conscious,Knee-Lower Leg Foot,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, Marked Crosswalk",Complaint of Pain,Pedestrian,Unspecified,Unspecified,F,40.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10267592,4233618,11/01/2019,8:02,d5bb0b5f-6b25-4fa2-aec5-8d1495f2a3bf,OCCUPANT,Unspecified,19150303.0,20.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,20.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5810834,3416543,04/12/2016,7:11,419368,PEDESTRIAN,Injured,,26.0,Does Not Apply,Conscious,Neck,Does Not Apply,-,Pedestrian/Bicyclist/Other Pedestrian at Intersection,"Crossing, No Signal, or Crosswalk",Unknown,Pedestrian,,,F,26.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6193011,3522070,09/16/2016,15:19,2006201,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6542996,3514236,08/31/2016,15:30,1847116,OCCUPANT,Unspecified,17322060.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6562103,3586705,12/22/2016,13:30,3147120,PEDESTRIAN,Injured,,14.0,,Conscious,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Unknown,Complaint of Pain,Pedestrian,Unspecified,Unspecified,F,14.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6360495,3483584,07/19/2016,11:00,1274118,PEDESTRIAN,Injured,,77.0,,Conscious,Face,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Emerging from in Front of/Behind Parked Vehicle,Contusion - Bruise,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,M,77.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10266833,4233455,11/01/2019,11:31,8bccdf71-af12-4008-8938-76310c758ea8,OCCUPANT,Unspecified,19149929.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12387850,4572113,10/11/2022,12:56,a7f687c5-367b-4357-80c8-ca83ab1d7765,OCCUPANT,Unspecified,20315407.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10251964,4229942,10/26/2019,4:00,b5165d55-093c-45de-a3d1-a708e6ac45fa,OCCUPANT,Injured,19142525.0,20.0,Not Ejected,Conscious,Neck,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,Passenger,,,M,20.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6315256,3476236,07/05/2016,16:20,1167578,OCCUPANT,Unspecified,17214072.0,26.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F,26.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6484960,3575308,12/07/2016,8:15,2957738,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10255089,4230661,10/25/2019,19:16,c8a6d771-0851-4f0b-a0a5-7c148c98de7a,OCCUPANT,Unspecified,19144090.0,50.0,,,,,,,,,Registrant,,,M,50.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10266351,4233067,10/31/2019,18:55,9ddfa1e4-f3e3-487e-a7b6-ab0e073aa51d,PEDESTRIAN,Injured,,13.0,,Conscious,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain or Nausea,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,M,13.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10253860,4230939,10/26/2019,22:45,9b532db3-f066-47c5-9ca9-3156cd55308d,OCCUPANT,Unspecified,19143470.0,34.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F,34.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6528746,3578652,12/12/2016,18:02,3025740,PEDESTRIAN,Injured,,55.0,,Conscious,Hip-Upper Leg,,,Pedestrian/Bicyclist/Other Pedestrian at Intersection,Crossing With Signal,Complaint of Pain,Pedestrian,Backing Unsafely,Unspecified,F,55.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6622377,3567498,11/25/2016,22:54,2823709,PEDESTRIAN,Injured,,14.0,,Conscious,Entire Body,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,"Crossing, No Signal, or Crosswalk",Complaint of Pain,Pedestrian,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,F,14.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10264641,4232882,10/31/2019,18:25,48bf95d6-31d9-4794-91b3-9b9fb98f7e54,OCCUPANT,Unspecified,19148803.0,73.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,73.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10252967,4230912,10/22/2019,19:35,be2ff6d6-8b96-462c-88a5-8a434d4f5290,OCCUPANT,Unspecified,19143021.0,29.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,F,29.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6533182,3486531,07/23/2016,10:55,1306565,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10263482,4233370,10/30/2019,15:10,d4f26b48-ac59-4c07-933e-7f05b56d5924,OCCUPANT,Unspecified,19148243.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588757,3504898,08/21/2016,14:00,1661163,OCCUPANT,Unspecified,17343871.0,40.0,,,,,,,,,Registrant,,,M,40.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10260615,4223236,10/14/2019,9:30,1dffca1b-305e-4b0f-9d26-2ae49dc38fd7,OCCUPANT,Unspecified,19146823.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10266102,4232993,10/31/2019,11:00,eb8afd2b-fec6-479b-b593-b8d8dc44b0f9,OCCUPANT,Unspecified,19149539.0,23.0,,,,,,,,,Registrant,,,M,23.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5813624,3429013,04/11/2016,10:55,331288,OCCUPANT,Unspecified,,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6700738,3579999,12/14/2016,17:15,3046426,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6476589,3532517,08/03/2016,18:25,1442078,PEDESTRIAN,Injured,,58.0,,Conscious,Face,,,Does Not Apply,Not in Roadway,Complaint of Pain,Pedestrian,Unspecified,Unspecified,M,58.0,INJURED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5825839,3413531,04/26/2016,12:00,489296,OCCUPANT,Unspecified,,53.0,Not Ejected,Does Not Apply,Does Not Apply,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M,53.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10256354,4218987,10/03/2019,21:37,94b41026-fa77-4f39-ab12-2b29593fe044,OCCUPANT,Unspecified,19144768.0,39.0,,,,,,,,,Registrant,,,F,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9409824,3939048,07/11/2018,8:50,baa3466d-a40f-403a-8249-cd5dd2e9de00,OCCUPANT,Unspecified,18724362.0,21.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,21.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6570169,3534594,10/05/2016,19:50,2262728,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5833613,3426798,04/26/2016,0:00,491317,OCCUPANT,Unspecified,,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10269095,4234465,11/01/2019,18:00,ebf3aaa8-966c-4e73-8a8a-db60821f779c,OCCUPANT,Unspecified,19151046.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7591542,3898014,05/07/2018,14:35,5065336b-56d5-4380-af6f-2063e5562caa,OCCUPANT,Unspecified,17829023.0,46.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,46.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9776595,4120566,04/24/2019,16:45,bf3fe633-dd94-4893-a53a-ce5aedc1374a,OCCUPANT,Unspecified,18905727.0,56.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,56.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10274140,4235248,10/31/2019,18:30,ba0d5674-f5f2-4e9a-8440-ccb90873e6a5,OCCUPANT,Unspecified,19153559.0,21.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,F,21.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10254432,4230681,10/24/2019,20:27,c299ee84-5919-48bc-bc5b-5ef29186f7f3,OCCUPANT,Unspecified,19143758.0,21.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F,21.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9336675,3919535,06/12/2018,17:10,c68c7bcf-68ca-4390-8118-a92a77fe91b7,OCCUPANT,Unspecified,18688467.0,49.0,,,,,,,,,Registrant,,,M,49.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6667930,3501152,08/16/2016,11:30,1599202,PEDESTRIAN,Unspecified,,21.0,,Does Not Apply,Does Not Apply,,,Pedestrian/Bicyclist/Other Pedestrian Not at Intersection,Crossing With Signal,Does Not Apply,Pedestrian,Passing or Lane Usage Improper,Turning Improperly,M,21.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6684295,3527596,09/25/2016,8:00,2096573,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,F,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9078865,4083310,02/19/2019,11:55,a7843aa3-548b-4960-b48d-0cf8a29a4ccf,OCCUPANT,Unspecified,18561593.0,36.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M,36.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9133645,4110318,04/06/2019,23:45,1c9b35fb-c24e-48e1-b2ea-4997b17099b3,OCCUPANT,Unspecified,18588718.0,58.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,58.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10251145,4230112,10/27/2019,8:45,6183743e-4653-47f8-8285-694e8d387eea,OCCUPANT,Unspecified,19142109.0,15.0,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Lap Belt,,,Does Not Apply,Passenger,,,M,15.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6046758,3595915,01/07/2017,17:00,2efcd5b0-72a5-4be4-a2e5-cca30cad9b01,OCCUPANT,Unspecified,17086639.0,51.0,Not Ejected,Does Not Apply,Does Not Apply,Unknown,Unknown,,,Does Not Apply,Driver,,,M,51.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5946981,3437192,04/09/2016,15:00,620638,OCCUPANT,Unspecified,17039670.0,36.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M,36.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9053363,4098096,03/17/2019,3:55,63dace36-31cf-4097-9f11-7b83653ee578,OCCUPANT,Unspecified,18548877.0,35.0,Not Ejected,Does Not Apply,Does Not Apply,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Lap Belt & Harness,,,Does Not Apply,Passenger,,,F,35.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6579095,3560955,11/15/2016,18:40,2720897,OCCUPANT,Unspecified,,,,,,,,,,,Witness,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6214259,3455953,06/04/2016,20:55,871047,OCCUPANT,Unspecified,,,,,,,,,,,Notified Person,,,,39.0,UNKNOWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
