unique_id,collision_id,crash_date,crash_time,person_id,person_type,person_injury,vehicle_id,person_age,ejection,emotional_status,bodily_injury,position_in_vehicle,safety_equipment,ped_location,ped_action,complaint,ped_role,contributing_factor_1,contributing_factor_2,person_sex,person_age_imputed,person_injury_clean
7498541,3906763,05/22/2018,16:30,321f3766-3d3d-46d3-aec1-e139f2c26ee4,OCCUPANT,Unspecified,17783366.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN
10019179,4176364,07/24/2019,16:56,70cd89de-934f-4afb-8e25-e8a48e9f65d1,OCCUPANT,Unspecified,19025778.0,30.0,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Lap Belt & Harness,,,Does Not Apply,Passenger,,,F,30.0,UNKNOWN
7249891,3744030,09/04/2017,10:15,a487185d-6ae8-4cba-8877-360084dffeb2,OCCUPANT,Unspecified,17661133.0,21.0,,,,,,,,,Registrant,,,F,21.0,UNKNOWN
12599476,4627019,04/25/2023,15:08,98fbd84e-ecb9-4b36-a12a-93f1dccd3224,OCCUPANT,Unspecified,20435513.0,75.0,Not Ejected,Does Not Apply,Does Not Apply,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M,75.0,UNKNOWN
7906329,3818491,12/22/2017,12:40,e932d9b4-e8e7-4d3d-95ec-9b0d3afeb18e,OCCUPANT,Unspecified,17982831.0,,,,,,,,,,Registrant,,,,39.0,UNKNOWN
10103430,4195820,08/27/2019,15:20,c7c6ed16-5ecc-4cda-9621-a7854cc2ce82,OCCUPANT,Unspecified,19068058.0,42.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M,42.0,UNKNOWN
13215633,4773585,11/18/2024,14:40,17bf3423-4cd7-4e6d-9142-239fda22442f,OCCUPANT,Unspecified,20787245.0,7.0,Not Ejected,Does Not Apply,Does Not Apply,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Unknown,,,Does Not Apply,Passenger,,,F,7.0,UNKNOWN
11367347,4335799,07/30/2020,17:00,198da1f1-dac8-4d66-8632-364a3d258f0b,OCCUPANT,Unspecified,19723001.0,34.0,,,,,,,,,Registrant,,,M,34.0,UNKNOWN
7007419,3637771,03/23/2017,8:00,049ac74b-7486-4a7a-a6ab-21c3540dc43c,OCCUPANT,Unspecified,17544842.0,3.0,Not Ejected,Does Not Apply,Does Not Apply,"Left rear passenger, or rear passenger on a bicycle, motorcycle, snowmobile",Child Restraint Only,,,Does Not Apply,Passenger,,,M,3.0,UNKNOWN
11153693,4258239,12/15/2019,17:10,4dd29bda-0b2f-404b-9fed-3bb74b6192ab,OCCUPANT,Unspecified,19608253.0,32.0,,,,,,,,,Registrant,,,F,32.0,UNKNOWN
7814047,3810615,12/16/2017,14:45,246661af-82df-4f27-96d3-7269a4b982cb,OCCUPANT,Unspecified,17937502.0,26.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,26.0,UNKNOWN
13008926,4732761,06/13/2024,23:35,251385d6-d878-422b-8d1e-1b7b0a59a9a5,OCCUPANT,Unspecified,20667696.0,61.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,61.0,UNKNOWN
6126626,3616212,02/13/2017,16:30,d7c7791b-727b-434e-abe8-7ce2f637dd9f,OCCUPANT,Unspecified,17125150.0,27.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,F,27.0,UNKNOWN
7578589,3904948,05/21/2018,18:10,fe476c9c-2af7-4a3a-8400-330c870060ac,OCCUPANT,Unspecified,17822657.0,5.0,Not Ejected,Does Not Apply,Does Not Apply,Right rear passenger or motorcycle sidecar passenger,Child Restraint Only,,,Does Not Apply,Passenger,,,M,5.0,UNKNOWN
7730909,3800374,11/30/2017,15:50,b7322de5-a404-4de4-a8eb-a7524f9e4426,OCCUPANT,Unspecified,17897076.0,30.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,30.0,UNKNOWN
6275857,3489394,07/27/2016,12:20,1343610,OCCUPANT,Unspecified,17195612.0,30.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt & Harness,,,Does Not Apply,Driver,,,M,30.0,UNKNOWN
11892611,4442523,07/30/2021,9:30,a791dd99-9097-4cfc-9df9-3abaab124717,OCCUPANT,Unspecified,20029307.0,74.0,,,,,,,,,Registrant,,,M,74.0,UNKNOWN
7587857,3751871,09/15/2017,9:33,fbac1add-994a-4e06-aa96-8d7f537303e7,OCCUPANT,Unspecified,17827208.0,60.0,,,,,,,,,Registrant,,,F,60.0,UNKNOWN
10119969,4199437,08/23/2019,18:47,29adbbd9-8085-40c8-8102-f0e880dda33f,OCCUPANT,Unspecified,19076417.0,38.0,,,,,,,,,Registrant,,,M,38.0,UNKNOWN
12992478,4728379,05/29/2024,8:45,f4ba1814-7179-4fc2-a6d5-58d9ea15f5a7,OCCUPANT,Unspecified,20658470.0,10.0,Not Ejected,Does Not Apply,Does Not Apply,"Any person in the rear of a station wagon, pick-up truck, all passengers on a bus, etc",Lap Belt & Harness,,,Does Not Apply,Passenger,,,M,10.0,UNKNOWN
9700059,4014310,11/04/2018,14:05,e13da39b-0067-43bd-abff-f4c3bed32462,OCCUPANT,Unspecified,18867708.0,45.0,,,,,,,,,Registrant,,,M,45.0,UNKNOWN
13177693,4763557,10/14/2024,9:45,404e6055-b92d-481e-95ef-0fa35c81032f,OCCUPANT,Unspecified,20765847.0,35.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,F,35.0,UNKNOWN
13297019,4794790,02/25/2025,8:45,5abf7746-63ad-4e1c-ab98-1c02c1feffdd,OCCUPANT,Injured,20833534.0,10.0,Not Ejected,Conscious,Head,Right rear passenger or motorcycle sidecar passenger,Child Restraint Only,,,Complaint of Pain or Nausea,Passenger,,,M,10.0,INJURED
7149599,3724074,08/01/2017,20:22,5d7dcefe-66c1-4c87-94d5-5f278eb048de,OCCUPANT,Unspecified,17612832.0,53.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Lap Belt,,,Does Not Apply,Driver,,,M,53.0,UNKNOWN
9545830,4035547,11/28/2018,10:12,4a15c932-fdaf-430a-8fef-736ca59797e0,OCCUPANT,Unspecified,18791271.0,33.0,Not Ejected,Does Not Apply,Does Not Apply,Driver,Unknown,,,Does Not Apply,Driver,,,M,33.0,UNKNOWN
9730307,3999256,10/12/2018,17:07,719ffe1a-d9f9-4335-a91e-8a627ad61dbe,OCCUPANT,Injured,18882976.0,35.0,Not Ejected,Conscious,Neck,"Front passenger, if two or more persons, including the driver, are in the front seat",Lap Belt & Harness,,,Complaint of Pain or Nausea,Passenger,,,F,35.0,INJURED
10163023,4209750,09/21/2019,1:45,2a1951f5-86f1-40d2-9483-6178c40d043c,OCCUPANT,Unspecified,19098183.0,35.0,,,,,,,,,Registrant,,,F,35.0,UNKNOWN
